iter	MAE
680	11574.35971
681	11573.01912
682	11572.64719
683	11570.92008
684	11570.49764
685	11564.30074
686	11562.64
687	11559.59103
688	11556.41994
689	11555.63668
690	11553.06346
691	11549.84738
692	11549.22272
693	11548.75126
694	11547.19093
695	11545.06231
696	11544.24614
697	11542.07635
698	11541.62126
699	11537.69914
700	11535.49197
701	11534.33263
702	11532.12917
703	11530.42061
704	11529.64953
705	11528.74858
706	11526.77343
707	11525.83776
708	11521.05781
709	11519.23845
710	11518.5795
711	11517.38121
712	11515.26583
713	11512.94556
714	11511.29042
715	11508.50636
716	11505.53983
717	11503.43648
718	11500.72653
719	11497.7309
720	11496.36352
721	11494.8863
722	11494.23941
723	11490.78043
724	11488.06111
725	11486.0289
726	11484.72643
727	11483.026
728	11481.81045
729	11478.62044
730	11476.55047
731	11473.22898
732	11471.60398
733	11468.7117
734	11467.18946
735	11460.72871
736	11458.81594
737	11458.02535
738	11457.34828
739	11456.95438
740	11455.14856
741	11454.65713
742	11454.11433
743	11450.71052
744	11448.05942
745	11445.56352
746	11444.12549
747	11442.69813
748	11440.65606
749	11437.26909
750	11436.18203
751	11435.9002
752	11434.29618
753	11432.95061
754	11432.26614
755	11431.80871
756	11429.70538
757	11428.12562
758	11427.7834
759	11422.04318
760	11417.44224
761	11416.43706
762	11414.30277
763	11408.89505
764	11407.07159
765	11405.77447
766	11405.32935
767	11404.17961
768	11401.08708
769	11399.38667
770	11395.39703
771	11393.22172
772	11389.89016
773	11388.59876
774	11388.34148
775	11385.80282
776	11383.13257
777	11381.30932
778	11379.12502
779	11374.75384
780	11371.7686
781	11369.46396
782	11365.67317
783	11361.9986
784	11357.42133
785	11353.89223
786	11353.20482
787	11351.18891
788	11348.39477
789	11347.83426
790	11345.70329
791	11343.54632
792	11339.04481
793	11338.44388
794	11336.67298
795	11335.52447
796	11334.48532
797	11333.69309
798	11333.53526
799	11332.25307
800	11331.83458
801	11330.00723
802	11327.09623
803	11323.79024
804	11323.65476
805	11322.62586
806	11319.72615
807	11317.39973
808	11315.03709
809	11312.64639
810	11312.08654
811	11311.86907
812	11310.28697
813	11308.70675
814	11308.09274
815	11307.33773
816	11307.0519
817	11305.585
818	11302.08265
819	11301.33975
820	11300.20363
821	11299.06264
822	11295.51239
823	11294.12553
824	11293.19807
825	11292.75049
826	11292.39164
827	11292.12068
828	11289.3274
829	11287.65466
830	11285.35899
831	11284.52937
832	11283.21152
833	11282.23288
834	11280.2195
835	11277.11517
836	11274.18185
837	11273.67686
838	11273.3541
839	11273.01238
840	11269.39657
841	11269.07231
842	11268.38487
843	11267.52171
844	11266.43686
845	11266.15061
846	11264.3122
847	11263.59818
848	11263.15694
849	11260.95546
850	11259.72375
851	11257.38373
852	11252.44537
853	11251.20949
854	11250.55596
855	11245.82001
856	11245.12776
857	11242.50702
858	11240.55793
859	11239.05409
860	11238.2524
861	11237.31297
862	11234.72088
863	11231.41994
864	11230.05902
865	11228.11013
866	11225.80167
867	11224.85393
868	11222.50745
869	11222.15739
870	11221.50784
871	11220.50718
872	11220.14034
873	11219.64065
874	11219.31478
875	11218.78233
876	11218.41043
877	11217.21097
878	11216.80718
879	11215.71462
880	11215.12858
881	11214.66778
882	11213.02712
883	11212.68173
884	11211.57823
885	11211.23489
886	11210.56237
887	11210.20377
888	11209.86475
889	11208.15752
890	11206.50419
891	11206.02871
892	11205.62077
893	11205.45037
894	11203.10899
895	11202.94924
896	11202.83812
897	11201.66401
898	11201.09792
899	11200.67016
900	11200.27265
901	11199.85295
902	11199.74516
903	11199.43107
904	11199.36498
905	11199.04366
906	11194.21339
907	11194.14934
908	11194.1028
909	11193.39312
910	11191.80568
911	11191.3344
912	11191.17294
913	11189.66149
914	11188.38962
915	11187.25472
916	11186.9186
